title,address,type,educational,workExperience,workTag,salary,salaryMouth,companyTags,hrWork,hrName,practice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
web前端,石家庄,web前端,本科,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""Flash\u5f00\u53d1"", ""HTML"", ""JavaScript"", ""React"", ""Vue"", """", """"]","[5000, 8000]",0薪,"[""\u514d\u8d39\u73ed\u8f66\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5305\u5403\uff0c\u8282\u65e5\u798f\u5229\uff0c\u9910\u8865\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u4f4f\u623f\u8865\u8d34""]",前端开发工程师,曹女士前端开发工程师,0,神玥软件,"https://img.bosszhipin.com/beijin/mcs/banner/7f945264120d35f374b1671f48d89d7ecfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/1ea375fd1b20abd31nJ53Nu9FVVV.html?lid=1DY0OMdwO6m.search.91&securityId=hU5yf68uKaEI--91yuHC5zzvtQP9Z1Xac35kDIQHJzvtdy9JJ1tVE1rSMDLa1MJpSxSEQfzBXn1Jlva-fuX4laLDYLPM2Ww6vZaQ0msXzhJkdxL68w~~&sessionId=,https://www.zhipin.com/gongsi/c15461725c0bfd3703J70t-8.html,鹿泉区
web前端,杭州,web前端,本科,1年以内,"[""HTML""]","[5000, 8000]",0薪,"[""\u5458\u5de5\u65c5\u6e38\uff0c\u5e74\u7ec8\u5956\uff0c\u80a1\u7968\u671f\u6743\uff0c\u514d\u8d39\u73ed\u8f66\uff0c\u96f6\u98df\u4e0b\u5348\u8336""]",HR,章女士HR,0,浙江言川科技有限公司,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170209/f92e6107fcd3b878f5089f54f8846232fd2ab381786987ee0cb4d474621ee537.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/be4fa80c4d71385f1XV_3di9EVI~.html?lid=1DY0OMdwO6m.search.92&securityId=iJ9sFIVyjfQAM-u1_RiSiuq8BBQUFoNpSnbM0oaX0pYDrphkITWlRYXOJoksWWtOAxpX8rbLZhaD3-W5mhddQBzdBa5_1IDo_9f77XKF303CO90~&sessionId=,https://www.zhipin.com/gongsi/1b4e1ad266b7791803N-3dy6.html,余杭区
web前端,上海,web前端,本科,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""WEB\u5f00\u53d1"", ""CSS"", ""JavaScript"", ""HTML5"", ""JQuery"", """", """"]","[10000, 15000]",0薪,无,研发总监,卢先生研发总监,0,安维云,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[0, 20]",https://www.zhipin.com/job_detail/38a4f2699dd1e6b01nNz3dy_F1NV.html?lid=1DY0OMdwO6m.search.93&securityId=XphUCGhdh0Cvu-a1X_A59RVPMRtiUeureeHKjrQ2MGghaW2zlZCST1LuxYKQzLE4QI-0z5qZ4uQDJTfYAes9jdSZU10yC0m_p6LG8033ExMQK5pNp_ZD&sessionId=,https://www.zhipin.com/gongsi/6effc8dccdb9d0fc1nx90tS4GVQ~.html,静安区
web前端,重庆,web前端,大专,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""HTML5"", ""Vue.js""]","[10000, 12000]",0薪,无,招聘者,谢先生招聘者,0,深拓科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/9b1a0f8e92809ac61n172dy4FFtQ.html?lid=1DY0OMdwO6m.search.94&securityId=7WCL3BesSeSIq-b16s8CZDsVlqhibN67a4Fx1QLUIoslsnb3cJyZzct7Vm36g11lox64PeYlkjG4NtSRDKLyZEDAzMn1_xuen9I1ssNRdNaW-kKHFcI~&sessionId=,https://www.zhipin.com/gongsi/c3a0134cbed79c281n1-3tm4F1I~.html,九龙坡区
web前端,深圳,web前端,本科,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""JavaScript"", ""React"", ""Vue"", ""Node.js""]","[10000, 15000]",0薪,"[""\u8282\u65e5\u798f\u5229\uff0c\u9910\u8865\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u5e74\u7ec8\u5956\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u8865\u5145\u533b\u7597\u4fdd\u9669\uff0c\u96f6\u98df\u4e0b\u5348\u8336\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u80a1\u7968\u671f\u6743\uff0c\u901a\u8baf\u8865\u8d34""]",前端工程师,邬先生前端工程师,0,小赢科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200512/a29e5fbd87a83968c37e905568a45417a215e1d18961ede561915c03a547b057_s.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,已上市,"[500, 999]",https://www.zhipin.com/job_detail/e1a86928630437003nB73di8EVI~.html?lid=1DY0OMdwO6m.search.95&securityId=2J_SqZhHt4_z--w1ItV09VGyXltM2usktrWI1B-WmfZJt2hFDRCO_n3HObTYcm1y-_MxKgRJturhGB5OOHDJNxV9GabA7E3qicdpkuhMu_SSKI8~&sessionId=,https://www.zhipin.com/gongsi/e1458eab4777c3e50HF92Nm6.html,南山区
web前端,杭州,web前端,本科,3-5年,"[""\u524d\u7aef\u5f00\u53d1"", ""JavaScript"", ""HTML"", ""CSS"", ""TypeScript""]","[20000, 35000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u5e74\u7ec8\u5956\uff0c\u80a1\u7968\u671f\u6743\uff0c\u52a0\u73ed\u8865\u52a9\uff0c\u6bcf\u5e74outing\uff0c\u6bcf\u6708\u56e2\u5efa\u8d39\uff0c\u4ea4\u901a\u8865\u52a9\uff0c\u5e26\u85aa\u5e74\u5047\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5458\u5de5\u65c5\u6e38""]",前端开发,白先生前端开发,0,涂鸦智能,"https://img.bosszhipin.com/beijin/mcs/banner/9b5648d30a60576a9ebce5af1ec0f70bcfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,已上市,"[1000, 9999]",https://www.zhipin.com/job_detail/2abd4e8a32a19cb60HZ_3du7EVI~.html?lid=1DY0OMdwO6m.search.96&securityId=PBgvKOd08Rug4-o1d2_-xOv_vEffI8UTWBQ6Lg9Tcgwyft5t9v2fDE1aVpf_epJ4A8X7nx4a8BEfTYgN4yeInvAu9kGaRWl2AgdoiM5jrVuk&sessionId=,https://www.zhipin.com/gongsi/dbc073226b21d2830Hx93d67.html,西湖区
web前端,苏州,web前端,本科,1年以内,"[""JavaScript"", ""HTML"", ""\u524d\u7aef\u5f00\u53d1"", ""CSS""]","[7000, 9000]",0薪,无,招聘者,祁先生招聘者,0,雪亭智能,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",电子/半导体/集成电路,未融资,"[0, 20]",https://www.zhipin.com/job_detail/265c5fac17e818783nd52Nq0EFI~.html?lid=1DY0OMdwO6m.search.97&securityId=MbXb96FFV2VnW-I1ZbH6Un9juM65_jQJFwcV31PIRgZ8M1bAIGGJFuAf4Lk_9HhDJ4Yu7C9C2gqL9fE2wvGMovxWoGJUVH3ft8h3O4btV8wZbLvnwco~&sessionId=,https://www.zhipin.com/gongsi/83338de155d9b8961nV72d26F1Q~.html,虎丘区
web前端,西安,web前端,大专,3-5年,"[""\u524d\u7aef\u5f00\u53d1"", ""CSS"", ""JavaScript"", ""HTML5"", ""Vue"", ""\u79fb\u52a8\u7aef"", ""PC\u7aef"", """"]","[8000, 10000]",0薪,无,综合部主任,王女士综合部主任,0,银河电信,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/d7d82400d813dcbf1nJ439m9E1JW.html?lid=1DY0OMdwO6m.search.98&securityId=DYCFiKODW9h8l-q18pEEyAuwC5HB__xVfYHXvHnahDYM0LxStolwh6vslq8TKRO8eKPYGM4myMElXbu7U7Tt8fULkdq-mFrrGMt2k7xQcNd5hxYhXcVK&sessionId=,https://www.zhipin.com/gongsi/22449dc5ce4300951nN-39W5FFc~.html,雁塔区
web前端,广州,web前端,本科,1-3年,"[""JavaScript"", ""React"", ""Vue"", ""\u8ba1\u7b97\u673a/\u8f6f\u4ef6\u5de5\u7a0b\u76f8\u5173\u4e13\u4e1a"", """"]","[15000, 25000]",0薪,"[""\u4e94\u9669\u4e00\u91d1\uff0c\u80a1\u7968\u671f\u6743\uff0c\u5e74\u7ec8\u5956\uff0c\u5458\u5de5\u65c5\u6e38\uff0c\u5e26\u85aa\u5e74\u5047""]",招聘者,唐先生招聘者,0,心潮无限,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210428/c2929ebd970b5deed4a4c5a089a1e395e99babbe42d6eae6d068354665220101_s.jpg?x-oss-process=image/resize,w_100,limit_0",电子商务,天使轮,"[20, 99]",https://www.zhipin.com/job_detail/da6a9c922471df9a1XB62t-1ElNQ.html?lid=1DY0OMdwO6m.search.99&securityId=bvGa8jm5Ap08P-B1uob35FYIHv3fPX0C_QwPa6NxWiEG8DoR92CHEyefwcPJWFTxoNV0GmhhkxmaIatuT_x5YsPWvCIVlMIC8wQZI0frLs33Fda8iQ~~&sessionId=,https://www.zhipin.com/gongsi/b784eaf0f15ea3bb1nFy2N-4FVI~.html,番禺区
web前端,石家庄,web前端,本科,1-3年,"[""\u524d\u7aef\u5f00\u53d1"", ""Node.js"", ""HTML"", ""CSS"", ""JavaScript"", ""SQL"", """", """"]","[6000, 8000]",14薪,"[""\u5e26\u85aa\u5e74\u5047\uff0c\u8282\u65e5\u798f\u5229\uff0c\u5e74\u7ec8\u5956\uff0c\u901a\u8baf\u8865\u8d34\uff0c\u5b9a\u671f\u4f53\u68c0\uff0c\u4e94\u9669\u4e00\u91d1\uff0c\u5458\u5de5\u65c5\u6e38""]",HR经理,赵先生HR经理,0,普瑞,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190409/176f9e5cdc1f25a0a5ee483589fe9159e672596dc496f158538cb1de13405ca3_s.jpg?x-oss-process=image/resize,w_100,limit_0",移动互联网,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/b1b4315b8c11928f1nZ-3dm_FFRQ.html?lid=1DY0OMdwO6m.search.100&securityId=DD-ObD2J5S_LE-b1yalFSA6xtGexZPm1BA8oGfflUlgbBrPD0iCPs1H5hzT8aJ3YhsVc6R--BHeoAC4uDxjooJsfQrU0RBpwZLPjL0pINnPpW9SW&sessionId=,https://www.zhipin.com/gongsi/511565a421d901f11nN-3N-_.html,桥西区
